original_link,section,link
https://www.hooktheory.com/theorytab/view/a-lovely-war/autumn-leaves-us-blue,intro,https://hookpad.hooktheory.com?idOfSong=jDgX-rQnxKl&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lovely-war/autumn-leaves-us-blue,verse-and-pre-chorus,https://hookpad.hooktheory.com?idOfSong=nJmBXGjpxAV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-lovely-war/autumn-leaves-us-blue,chorus,https://hookpad.hooktheory.com?idOfSong=AaoG-PBlgeQ&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/depressed,verse,https://hookpad.hooktheory.com?idOfSong=ROmNDaOpxNw&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/depressed,chorus,https://hookpad.hooktheory.com?idOfSong=ZbgODeG_xnY&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/disappear,verse,https://hookpad.hooktheory.com?idOfSong=WeglpBKlgrY&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/disappear,chorus,https://hookpad.hooktheory.com?idOfSong=AQodpYMloDl&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/disappear,bridge,https://hookpad.hooktheory.com?idOfSong=_NgbpOQYoQA&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/full-name,verse,https://hookpad.hooktheory.com?idOfSong=ZOxVAYqygdq&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/full-name,pre-chorus,https://hookpad.hooktheory.com?idOfSong=ROmNlapQxNw&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/full-name,chorus,https://hookpad.hooktheory.com?idOfSong=QLgnnBwyg-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/have-you-heard-lately,verse,https://hookpad.hooktheory.com?idOfSong=_NgbVXEDgQA&amp;enableYouTube=false&amp;openBandEditorOnInit=true
